"","Region","PSTATABB","STNAMEPCAP","STNGENAN","STNOXAN","STSO2AN","STCO2AN","STCO2EQA","STGENACL","STGENAOL","STGENAGS","STGENANC","STGENAHY","STGENABM","STGENAWI","STGENASO","STGENAGT","STGENAOF"
"37","South West","OK",32191.6,80754585.812,21893.982,16630.813,30426114.607,30551281.668,11246006.513,35177.93,33857237.543,0,2679235,318287.721,32540312.15,76618,0,1711.207
"38","Far West","OR",17697.6,61016874.601,13756.242,463.154,9939781.451,9967678.771,0,419.237,21296627.306,0,27659573,1005134.308,9375750,1461062,182841,35743.308
"39","Mid East","PA",54061.6,241279607.04,37681.831,49048.798,87636486.475,88023213.231,29247947.685,123457.155,126665364.727,75902514,2443405,1765557.16,3455169,223504.21,0,1472574.922
"40","Non-Contiguous","PR",6342.4,18578947.002,29903.264,30510.252,14473222.329,14527770.208,3257268,6908147.85,7944397.38,0,0,0,165727,305856.43,0,0
"41","New England","RI",2366.2,9314561.279,1817.692,55.903,3878225.478,3882208.247,0,12259.083,8635941.87,0,4455,208274.38,172160,281471,0,0
"42","South East","SC",26211.7,98113946.629,11674.788,8765.654,27816569.444,27981816.49,15188400.643,85688.178,23018254.123,53771428,1775680,1952711.466,0,2279650,0,40874.745
"43","Plains","SD",6701.5,17322408.875,1101.289,642.335,2623639.108,2638110.473,1638390.1,38192.493,1311854.314,0,4982552,22796.098,9326617,2007,0,0
"44","South East","TN",23997.6,79057209.281,10469.927,14478.885,27601868.143,27774673.891,18259796.462,103066.474,13986005.777,35330407,10294189,699692.116,28186,338576,0,16626.74
"45","South West","TX",150060.600000001,480614368.135,124330.348,157159.549,205808156.661,206722404.462,88818138.75,297629.552,232075259.774,40211257,1052297.26,1269490.879,99474215.55,14778865,0,2219562.607
"46","Rocky Mountain","UT",10336.8,42560373.008,34866.078,13837.33,33207783.249,33435337.098,26375564.85,38114.005,10681063.235,0,493542,80752,825229,3479352.82,419662,5271.748
"47","South East","VA",30594.3,93103269.048,10360.775,4075.71,27894228.296,28002997.065,3015489.421,338986.817,53487164.797,28571516,267022.12,3594442.597,49583,3251472.61,0,527592.017
"48","New England","VT",887.4,2107702.867,167.633,17.482,37986.001,47248.856,0,2885.365,2053.531,0,1092771,496319.965,338188,173303,0,0
"49","Far West","WA",31472.3,110808400.626,7265.892,2179.056,11182065.233,11244478.743,3132520.57,31912.585,16589363.888,8511288,71381343,1510778.492,9297756,50208,0,303506.079
"50","Great Lakes","WI",18260,64242541.956,16550.769,7105.411,40701557.702,40952458.384,27441586.857,320542.704,21308063.992,9970190,2144882.83,1071645.276,1593479,366806.07,0,25346.271
"51","South East","WV",15586.4,65836062.988,33953.606,47394.137,63997456.892,64498767.7,59667589.45,167198.661,2625674.632,0,1704564,10166,1624136,0,0,53005.376
"52","Rocky Mountain","WY",11402.8,43460743.876,26122.306,25208.493,39851718,40145097.759,32038128.82,60331.727,1500700.693,0,790445,0,8447860,179072,0,360169.14
